bldg_id,in.building_america_climate_zone,in.state,in.heating_fuel,in.interior_lighting_generation,in.service_water_heating_fuel,in.comstock_building_type_group,in.vintage,in.sqft
3366,Mixed-Humid,AL,NaturalGas,gen1_t12_incandescent,Electricity,Office,0,7500.0
3444,Mixed-Humid,AL,Electricity,gen2_t8_halogen,Electricity,Food Service,2,3000.0
3454,Mixed-Humid,AL,NaturalGas,gen1_t12_incandescent,NaturalGas,Mercantile,3,75000.0
3470,Hot-Humid,AL,Electricity,gen2_t8_halogen,Electricity,Warehouse and Storage,5,75000.0
3520,Hot-Humid,AL,Electricity,gen1_t12_incandescent,Electricity,Mercantile,0,7500.0
3527,Hot-Humid,AL,NaturalGas,gen3_t5_cfl,Electricity,Office,2,7500.0
3587,Mixed-Humid,AL,Electricity,gen4_led,Electricity,Education,3,150000.0
3624,Mixed-Humid,AL,Propane,gen2_t8_halogen,Electricity,Mercantile,1,1000.0
3715,Mixed-Humid,AL,Electricity,gen2_t8_halogen,Electricity,Mercantile,1,37500.0
3772,Mixed-Humid,AL,NaturalGas,gen2_t8_halogen,Electricity,Office,0,17500.0
3796,Hot-Humid,AL,FuelOil,gen2_t8_halogen,Electricity,Office,6,7500.0
4129,Mixed-Humid,AL,NaturalGas,gen2_t8_halogen,Electricity,Office,3,17500.0
4192,Hot-Humid,AL,NaturalGas,gen2_t8_halogen,NaturalGas,Warehouse and Storage,5,17500.0
4210,Mixed-Humid,AL,Electricity,gen4_led,NaturalGas,Mercantile,4,17500.0
4235,Mixed-Humid,AL,Electricity,gen2_t8_halogen,NaturalGas,Food Service,5,3000.0
4255,Hot-Humid,AL,NaturalGas,gen1_t12_incandescent,NaturalGas,Mercantile,0,37500.0
4288,Mixed-Humid,AL,NaturalGas,gen2_t8_halogen,NaturalGas,Office,5,3000.0
4338,Mixed-Humid,AL,Electricity,gen2_t8_halogen,Electricity,Mercantile,3,17500.0
4370,Mixed-Humid,AL,Electricity,gen2_t8_halogen,Electricity,Mercantile,6,37500.0
4374,Mixed-Humid,AL,Electricity,gen1_t12_incandescent,Electricity,Mercantile,5,37500.0
4452,Hot-Humid,AL,Electricity,gen2_t8_halogen,Electricity,Mercantile,1,150000.0
4475,Mixed-Humid,AL,NaturalGas,gen1_t12_incandescent,Electricity,Warehouse and Storage,5,75000.0
4485,Mixed-Humid,AL,Electricity,gen2_t8_halogen,Electricity,Mercantile,0,37500.0
4646,Mixed-Humid,AL,Electricity,gen2_t8_halogen,Electricity,Warehouse and Storage,2,17500.0
4695,Mixed-Humid,AL,NaturalGas,gen4_led,Electricity,Mercantile,2,37500.0
4757,Hot-Humid,AL,NaturalGas,gen2_t8_halogen,Electricity,Office,7,7500.0
4798,Mixed-Humid,AL,Electricity,gen2_t8_halogen,Electricity,Mercantile,0,37500.0
4848,Mixed-Humid,AL,Electricity,gen2_t8_halogen,Electricity,Mercantile,1,17500.0
4850,Hot-Humid,AL,NaturalGas,gen2_t8_halogen,Electricity,Warehouse and Storage,5,37500.0
4927,Mixed-Humid,AL,NaturalGas,gen4_led,Electricity,Mercantile,2,17500.0
4942,Hot-Humid,AL,NaturalGas,gen2_t8_halogen,NaturalGas,Office,3,75000.0
