bldg_id,in.building_america_climate_zone,in.state,in.heating_fuel,in.interior_lighting_generation,in.service_water_heating_fuel,in.comstock_building_type_group,in.vintage,in.sqft
31995,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,NaturalGas,Mercantile,0,37500.0
32012,Marine,CA,NaturalGas,gen4_led,NaturalGas,Warehouse and Storage,3,3000.0
32015,Hot-Dry,CA,Electricity,gen2_t8_halogen,Electricity,Education,5,75000.0
32026,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,NaturalGas,Mercantile,2,17500.0
32029,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Mercantile,1,37500.0
32039,Marine,CA,NaturalGas,gen2_t8_halogen,Electricity,Mercantile,5,37500.0
32051,Hot-Dry,CA,Electricity,gen2_t8_halogen,Electricity,Office,4,17500.0
32060,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,Electricity,Mercantile,4,17500.0
32063,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,NaturalGas,Mercantile,1,7500.0
32077,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Mercantile,3,37500.0
32081,Hot-Dry,CA,Electricity,gen4_led,Electricity,Mercantile,0,17500.0
32083,Hot-Dry,CA,Electricity,gen4_led,Electricity,Warehouse and Storage,3,150000.0
32087,Hot-Dry,CA,NaturalGas,gen4_led,Electricity,Warehouse and Storage,6,75000.0
32089,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,Electricity,Office,3,3000.0
32103,Marine,CA,Electricity,gen4_led,Electricity,Office,4,7500.0
32122,Hot-Dry,CA,Electricity,gen2_t8_halogen,Electricity,Warehouse and Storage,4,7500.0
32138,Hot-Dry,CA,NaturalGas,gen3_t5_cfl,Electricity,Office,2,7500.0
32165,Hot-Dry,CA,Electricity,gen2_t8_halogen,Electricity,Warehouse and Storage,3,3000.0
32172,Hot-Dry,CA,Electricity,gen4_led,Electricity,Warehouse and Storage,3,17500.0
32201,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Mercantile,1,75000.0
32204,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Office,4,3000.0
32209,Hot-Dry,CA,Electricity,gen4_led,Electricity,Warehouse and Storage,5,150000.0
32210,Hot-Dry,CA,Electricity,gen2_t8_halogen,Electricity,Office,3,7500.0
